rt,stimulus,response,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,condition,session_id,correct,status,question_order
1417,"<p style=""font-size:20px; color:black;""><p>By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. </p><p>If you have questions about this research, please contact us at stanfordpsych251@gmail.com. </p><p>You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. </p><p>Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you.</p>",0,html-button-response,0,1419,0.0-0.0,8,spatial,,,,
2066,"<p style=""font-size:20px; color:black;"">Our experiment is a task that tests your perspective taking ability.</p>",0,html-button-response,1,3487,0.0-1.0,8,spatial,,,,
554,"<p style=""font-size:20px; color:black;"">Perspective taking ability can be thought of as a measure of <strong>spatial ability</strong>.</p>",0,html-button-response,2,4043,0.0-2.0,8,spatial,,,,
2617,"<p style=""font-size:20px; color:black;""><p>Spatial ability is a cognitive ability that is defined as understanding the relations between objects in space </p><p> and being able to mentally manipulate them and respond correctly.</p>",0,html-button-response,3,6661,0.0-3.0,8,spatial,,,,
1463,"<p style=""font-size:20px; color:black;"">Previous studies have shown that <strong>males often score higher on measures of spatial ability</strong>.</p>",0,html-button-response,4,8126,0.0-4.0,8,spatial,,,,
1201,"<p>In this test, you will be shown a map of a city with a path drawn through it. </p>",0,html-button-response,5,9329,0.0-5.0,8,spatial,,,,
,"Ê Ê Ê <p>Imagine yourself taking a walk through the path, following the direction of the dashed line.</p>Ê",,,,,,,,,,,
,"Ê Ê Ê <p>At each turn that the path takes, which will be circled,Ê",,,,,,,,,,,
,Ê Ê Ê your task is to decide whether you would turn to your right or your left as you are walking. </p>,,,,,,,,,,,
,"Ê Ê Ê <p>If it is a <strong> right turn</strong>, click on the <strong> right arrow key</strong>Ê on your keyboard,</p>",,,,,,,,,,,
,"Ê Ê Ê <p>and if it is a <strong> left turn</strong>, click on the <strong> left arrow key</strong>Ê on your keyboard.</p>",,,,,,,,,,,
,Ê Ê Ê <p>You will first see three practice trials. </p>,,,,,,,,,,,
,Ê Ê Ê <p>Please do not turn your computer screen/head.</p>,,,,,,,,,,,
1396,"<p style=""font-size:20px; color:black;"">You will first see three practice trials</p><p><p>If it is a <strong> right turn</strong>, click on the <strong> right arrow key</strong>Ê on your keyboard,</p><p>and if it is a <strong> left turn</strong>, click on the <strong> left arrow key</strong>Ê on your keyboard.</p>",0,html-button-response,6,10727,0.0-6.0,8,spatial,,,,
3043,img/spatial/version2/p1.png,arrowleft,image-keyboard-response,7,13785,0.0-7.0-0.0,8,spatial,,,,
1141,img/spatial/version2/p2.png,arrowright,image-keyboard-response,8,14940,0.0-7.0-1.0,8,spatial,,,,
307,img/spatial/version2/p3.png,arrowright,image-keyboard-response,9,15265,0.0-7.0-2.0,8,spatial,,,,
3406,"<p style=""font-size:20px; color:black;""> Now, you will have 30 seconds to complete as many of the 32 trials as you can.",0,html-button-response,10,18673,0.0-8.0,8,spatial,,,,
2102,img/spatial/version2/1.png,arrowleft,image-keyboard-response,11,20792,0.0-9.0-0.0,8,spatial,,TRUE,,
1388,img/spatial/version2/2.png,arrowleft,image-keyboard-response,12,22200,0.0-9.0-0.1,8,spatial,,TRUE,,
908,img/spatial/version2/3.png,arrowright,image-keyboard-response,13,23124,0.0-9.0-0.2,8,spatial,,TRUE,,
1282,img/spatial/version2/4.png,arrowright,image-keyboard-response,14,24424,0.0-9.0-0.3,8,spatial,,TRUE,,
1673,img/spatial/version2/5.png,arrowleft,image-keyboard-response,15,26116,0.0-9.0-0.4,8,spatial,,TRUE,,
2389,img/spatial/version2/6.png,arrowleft,image-keyboard-response,16,28523,0.0-9.0-0.5,8,spatial,,TRUE,,
1116,img/spatial/version2/7.png,arrowright,image-keyboard-response,17,29641,0.0-9.0-0.6,8,spatial,,TRUE,,
2824,img/spatial/version2/8.png,arrowright,image-keyboard-response,18,32466,0.0-9.0-0.7,8,spatial,,TRUE,,
1677,img/spatial/version2/9.png,arrowright,image-keyboard-response,19,34166,0.0-9.0-0.8,8,spatial,,TRUE,,
1020,img/spatial/version2/10.png,arrowleft,image-keyboard-response,20,35205,0.0-9.0-0.9,8,spatial,,TRUE,,
2454,img/spatial/version2/11.png,arrowright,image-keyboard-response,21,37679,0.0-9.0-0.10,8,spatial,,TRUE,,
2459,img/spatial/version2/12.png,arrowleft,image-keyboard-response,22,40139,0.0-9.0-0.11,8,spatial,,TRUE,,
1731,img/spatial/version2/13.png,arrowleft,image-keyboard-response,23,41872,0.0-9.0-0.12,8,spatial,,TRUE,,
1917,img/spatial/version2/14.png,arrowright,image-keyboard-response,24,43792,0.0-9.0-0.13,8,spatial,,TRUE,,
3951,img/spatial/version2/15.png,arrowright,image-keyboard-response,25,47757,0.0-9.0-0.14,8,spatial,,TRUE,,
,,,image-keyboard-response,26,48690,0.0-9.0-0.15,8,spatial,,FALSE,ended early,
1647,"<p style=""font-size:20px; color:black;""><p>You have finished the task - thanks for participating! Three more questions before you go. </p>",0,html-button-response,27,50339,0.0-10.0,8,spatial,,,,
4666,,"{""sex"":""Male""}",survey-multi-choice,28,55008,0.0-11.0,8,spatial,,,,[0]
4173,,"{""q2"":""spatial ability""}",survey-multi-choice,29,59184,0.0-12.0,8,spatial,,,,[0]
1502,,"{""q3"":""Males""}",survey-multi-choice,30,60689,0.0-13.0,8,spatial,,,,[0]
683,"<p style=""font-size:20px; color:black;""><p>Thanks for participating! In this study the task is framed either as a spatial task (which male participants typically perform better on) or a social task (which female participants typically perform better on). We are looking at the effect of gender bias in problem framing on performance. We ask that you please do not share this information with other potential participants. </p>",0,html-button-response,31,61375,0.0-14.0,8,spatial,,,,
