rt,stimulus,response,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,condition,session_id,correct,status,question_order
1146,"<p style=""font-size:20px; color:black;""><p>By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. </p><p>If you have questions about this research, please contact us at stanfordpsych251@gmail.com. </p><p>You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. </p><p>Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you.</p>",0,html-button-response,0,1147,0.0-0.0,7,social,,,,
3031,"<p style=""font-size:20px; color:black;"">Our experiment is a task that tests your perspective taking ability.</p>",0,html-button-response,1,4183,0.0-1.0,7,social,,,,
851,"<p style=""font-size:20px; color:black;"">Perspective taking ability can be thought of as a measure of <strong>empathetic ability</strong>.</p>",0,html-button-response,2,5036,0.0-2.0,7,social,,,,
2107,"<p style=""font-size:20px; color:black;""><p>Spatial ability is a cognitive ability that is defined as understanding the relations between objects in space </p><p> and being able to mentally manipulate them and respond correctly.</p>",0,html-button-response,3,7145,0.0-3.0,7,social,,,,
1648,"<p style=""font-size:20px; color:black;"">Previous studies have shown that <strong>females often score higher on measures of empathetic ability</strong>.</p>",0,html-button-response,4,8795,0.0-4.0,7,social,,,,
2589,"<p>In this test, you will be shown a map of a city with a path drawn through it. </p>",0,html-button-response,5,11385,0.0-5.0,7,social,,,,
,"Ê Ê Ê <p>Imagine yourself taking the perspective of the person on the map. Suppose that one day, you went for walk and followed the path through the city that is shown. </p>Ê",,,,,,,,,,,
,"Ê Ê Ê <p>At each turn that the path takes,Ê",,,,,,,,,,,
,Ê Ê Ê your task is to decide whether you would turn to your right or your left as you are walking. </p>,,,,,,,,,,,
,"Ê Ê Ê <p>If it is a <strong> right turn</strong>, click on the <strong> right arrow key</strong>Ê on your keyboard,</p>",,,,,,,,,,,
,"Ê Ê Ê <p>and if it is a <strong> left turn</strong>, click on the <strong> left arrow key</strong>Ê on your keyboard.</p>",,,,,,,,,,,
,Ê Ê Ê <p>You will first see three practice trials. </p>,,,,,,,,,,,
,Ê Ê Ê <p>Please do not turn your computer screen/head.</p>,,,,,,,,,,,
833,"<p style=""font-size:20px; color:black;"">You will first see three practice trials</p><p><p>If it is a <strong> right turn</strong>, click on the <strong> right arrow key</strong>Ê on your keyboard,</p><p>and if it is a <strong> left turn</strong>, click on the <strong> left arrow key</strong>Ê on your keyboard.</p>",0,html-button-response,6,12220,0.0-6.0,7,social,,,,
923,img/social/version2/p1.png,arrowleft,image-keyboard-response,7,13158,0.0-7.0-0.0,7,social,,,,
410,img/social/version2/p2.png,arrowright,image-keyboard-response,8,13583,0.0-7.0-1.0,7,social,,,,
294,img/social/version2/p3.png,arrowright,image-keyboard-response,9,13892,0.0-7.0-2.0,7,social,,,,
1292,"<p style=""font-size:20px; color:black;""> Now, you will have 30 seconds to complete as many of the 32 trials as you can.",0,html-button-response,10,15185,0.0-8.0,7,social,,,,
1574,img/social/version2/1.png,arrowleft,image-keyboard-response,11,16777,0.0-9.0-0.0,7,social,,TRUE,,
1727,img/social/version2/2.png,arrowleft,image-keyboard-response,12,18528,0.0-9.0-0.1,7,social,,TRUE,,
1939,img/social/version2/3.png,arrowright,image-keyboard-response,13,20485,0.0-9.0-0.2,7,social,,TRUE,,
1222,img/social/version2/4.png,arrowright,image-keyboard-response,14,21722,0.0-9.0-0.3,7,social,,TRUE,,
1166,img/social/version2/5.png,arrowleft,image-keyboard-response,15,22905,0.0-9.0-0.4,7,social,,TRUE,,
2731,img/social/version2/6.png,arrowleft,image-keyboard-response,16,25660,0.0-9.0-0.5,7,social,,TRUE,,
1450,img/social/version2/7.png,arrowright,image-keyboard-response,17,27126,0.0-9.0-0.6,7,social,,TRUE,,
988,img/social/version2/8.png,arrowright,image-keyboard-response,18,28131,0.0-9.0-0.7,7,social,,TRUE,,
1277,img/social/version2/9.png,arrowright,image-keyboard-response,19,29426,0.0-9.0-0.8,7,social,,TRUE,,
1064,img/social/version2/10.png,arrowleft,image-keyboard-response,20,30508,0.0-9.0-0.9,7,social,,TRUE,,
2217,img/social/version2/11.png,arrowright,image-keyboard-response,21,32745,0.0-9.0-0.10,7,social,,TRUE,,
1296,img/social/version2/12.png,arrowleft,image-keyboard-response,22,34065,0.0-9.0-0.11,7,social,,TRUE,,
2651,img/social/version2/13.png,arrowleft,image-keyboard-response,23,36735,0.0-9.0-0.12,7,social,,TRUE,,
2020,img/social/version2/14.png,arrowright,image-keyboard-response,24,38774,0.0-9.0-0.13,7,social,,TRUE,,
3183,img/social/version2/15.png,arrowright,image-keyboard-response,25,41960,0.0-9.0-0.14,7,social,,TRUE,,
2042,img/social/version2/16.png,arrowleft,image-keyboard-response,26,44006,0.0-9.0-0.15,7,social,,TRUE,,
,,,image-keyboard-response,27,45203,0.0-9.0-0.16,7,social,,FALSE,ended early,
1558,"<p style=""font-size:20px; color:black;""><p>You have finished the task - thanks for participating! Three more questions before you go. </p>",0,html-button-response,28,46763,0.0-10.0,7,social,,,,
1235,,"{""sex"":""Male""}",survey-multi-choice,29,48000,0.0-11.0,7,social,,,,[0]
1487,,"{""q2"":""empathetic ability""}",survey-multi-choice,30,49490,0.0-12.0,7,social,,,,[0]
1766,,"{""q3"":""Females""}",survey-multi-choice,31,51260,0.0-13.0,7,social,,,,[0]
837,"<p style=""font-size:20px; color:black;""><p>Thanks for participating! In this study the task is framed either as a spatial task (which male participants typically perform better on) or a social task (which female participants typically perform better on). We are looking at the effect of gender bias in problem framing on performance. We ask that you please do not share this information with other potential participants. </p>",0,html-button-response,32,52100,0.0-14.0,7,social,,,,
