rt,stimulus,response,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,condition,session_id,correct,status,question_order
846,"<p style=""font-size:20px; color:black;""><p>By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. </p><p>If you have questions about this research, please contact us at stanfordpsych251@gmail.com. </p><p>You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. </p><p>Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you.</p>",0,html-button-response,0,848,0.0-0.0,6,social,,,,
625,"<p style=""font-size:20px; color:black;"">Our experiment is a task that tests your perspective taking ability.</p>",0,html-button-response,1,1475,0.0-1.0,6,social,,,,
455,"<p style=""font-size:20px; color:black;"">Perspective taking ability can be thought of as a measure of <strong>empathetic ability</strong>.</p>",0,html-button-response,2,1932,0.0-2.0,6,social,,,,
611,"<p style=""font-size:20px; color:black;""><p>Spatial ability is a cognitive ability that is defined as understanding the relations between objects in space </p><p> and being able to mentally manipulate them and respond correctly.</p>",0,html-button-response,3,2545,0.0-3.0,6,social,,,,
564,"<p style=""font-size:20px; color:black;"">Previous studies have shown that <strong>females often score higher on measures of empathetic ability</strong>.</p>",0,html-button-response,4,3110,0.0-4.0,6,social,,,,
953,"<p>In this test, you will be shown a map of a city with a path drawn through it. </p>",0,html-button-response,5,4065,0.0-5.0,6,social,,,,
,"Ê Ê Ê <p>Imagine yourself taking the perspective of the person on the map. Suppose that one day, you went for walk and followed the path through the city that is shown. </p>Ê",,,,,,,,,,,
,"Ê Ê Ê <p>At each turn that the path takes,Ê",,,,,,,,,,,
,Ê Ê Ê your task is to decide whether you would turn to your right or your left as you are walking. </p>,,,,,,,,,,,
,"Ê Ê Ê <p>If it is a <strong> right turn</strong>, click on the <strong> right arrow key</strong>Ê on your keyboard,</p>",,,,,,,,,,,
,"Ê Ê Ê <p>and if it is a <strong> left turn</strong>, click on the <strong> left arrow key</strong>Ê on your keyboard.</p>",,,,,,,,,,,
,Ê Ê Ê <p>You will first see three practice trials. </p>,,,,,,,,,,,
,Ê Ê Ê <p>Please do not turn your computer screen/head.</p>,,,,,,,,,,,
636,"<p style=""font-size:20px; color:black;"">You will first see three practice trials</p><p><p>If it is a <strong> right turn</strong>, click on the <strong> right arrow key</strong>Ê on your keyboard,</p><p>and if it is a <strong> left turn</strong>, click on the <strong> left arrow key</strong>Ê on your keyboard.</p>",0,html-button-response,6,4702,0.0-6.0,6,social,,,,
1338,img/social/version2/p1.png,arrowleft,image-keyboard-response,7,6047,0.0-7.0-0.0,6,social,,,,
692,img/social/version2/p2.png,arrowright,image-keyboard-response,8,6742,0.0-7.0-1.0,6,social,,,,
437,img/social/version2/p3.png,arrowright,image-keyboard-response,9,7181,0.0-7.0-2.0,6,social,,,,
1536,"<p style=""font-size:20px; color:black;""> Now, you will have 30 seconds to complete as many of the 32 trials as you can.",0,html-button-response,10,8719,0.0-8.0,6,social,,,,
1831,img/social/version2/1.png,arrowleft,image-keyboard-response,11,10553,0.0-9.0-0.0,6,social,,TRUE,,
2992,img/social/version2/2.png,arrowleft,image-keyboard-response,12,13547,0.0-9.0-0.1,6,social,,TRUE,,
2016,img/social/version2/3.png,arrowright,image-keyboard-response,13,15565,0.0-9.0-0.2,6,social,,TRUE,,
1360,img/social/version2/4.png,arrowright,image-keyboard-response,14,16928,0.0-9.0-0.3,6,social,,TRUE,,
1674,img/social/version2/5.png,arrowleft,image-keyboard-response,15,18605,0.0-9.0-0.4,6,social,,TRUE,,
2161,img/social/version2/6.png,arrowleft,image-keyboard-response,16,20768,0.0-9.0-0.5,6,social,,TRUE,,
1534,img/social/version2/7.png,arrowright,image-keyboard-response,17,22304,0.0-9.0-0.6,6,social,,TRUE,,
2334,img/social/version2/8.png,arrowright,image-keyboard-response,18,24641,0.0-9.0-0.7,6,social,,TRUE,,
1871,img/social/version2/9.png,arrowright,image-keyboard-response,19,26514,0.0-9.0-0.8,6,social,,TRUE,,
1341,img/social/version2/10.png,arrowleft,image-keyboard-response,20,27858,0.0-9.0-0.9,6,social,,TRUE,,
1675,img/social/version2/11.png,arrowright,image-keyboard-response,21,29536,0.0-9.0-0.10,6,social,,TRUE,,
1476,img/social/version2/12.png,arrowleft,image-keyboard-response,22,31014,0.0-9.0-0.11,6,social,,TRUE,,
3201,img/social/version2/13.png,arrowleft,image-keyboard-response,23,34221,0.0-9.0-0.12,6,social,,TRUE,,
3253,img/social/version2/14.png,arrowright,image-keyboard-response,24,37477,0.0-9.0-0.13,6,social,,TRUE,,
,,,image-keyboard-response,25,38723,0.0-9.0-0.14,6,social,,FALSE,ended early,
1268,"<p style=""font-size:20px; color:black;""><p>You have finished the task - thanks for participating! Three more questions before you go. </p>",0,html-button-response,26,39994,0.0-10.0,6,social,,,,
1729,,"{""sex"":""Male""}",survey-multi-choice,27,41725,0.0-11.0,6,social,,,,[0]
1365,,"{""q2"":""empathetic ability""}",survey-multi-choice,28,43093,0.0-12.0,6,social,,,,[0]
2097,,"{""q3"":""Females""}",survey-multi-choice,29,45193,0.0-13.0,6,social,,,,[0]
935,"<p style=""font-size:20px; color:black;""><p>Thanks for participating! In this study the task is framed either as a spatial task (which male participants typically perform better on) or a social task (which female participants typically perform better on). We are looking at the effect of gender bias in problem framing on performance. We ask that you please do not share this information with other potential participants. </p>",0,html-button-response,30,46132,0.0-14.0,6,social,,,,
