rt,stimulus,response,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,condition,session_id,correct,status,question_order
8246,"<p style=""font-size:20px; color:black;""><p>By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. </p><p>If you have questions about this research, please contact us at stanfordpsych251@gmail.com. </p><p>You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. </p><p>Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you.</p>",0,html-button-response,0,8249,0.0-0.0,1,spatial,,,,
2681,"<p style=""font-size:20px; color:black;"">Our experiment is a task that tests your perspective taking ability.</p>",0,html-button-response,1,10932,0.0-1.0,1,spatial,,,,
2641,"<p style=""font-size:20px; color:black;"">Perspective taking ability can be thought of as a measure of <strong>spatial ability</strong>.</p>",0,html-button-response,2,13575,0.0-2.0,1,spatial,,,,
2617,"<p style=""font-size:20px; color:black;""><p>Spatial ability is a cognitive ability that is defined as understanding the relations between objects in space </p><p> and being able to mentally manipulate them and respond correctly.</p>",0,html-button-response,3,16193,0.0-3.0,1,spatial,,,,
1887,"<p style=""font-size:20px; color:black;"">Previous studies have shown that <strong>males often score higher on measures of spatial ability</strong>.</p>",0,html-button-response,4,18082,0.0-4.0,1,spatial,,,,
1538,"<p>In this test, you will be shown a map of a city with a path drawn through it. </p>",0,html-button-response,5,19620,0.0-5.0,1,spatial,,,,
,"Ê Ê Ê <p>Imagine yourself taking a walk through the path, following the direction of the dashed line.</p>Ê",,,,,,,,,,,
,"Ê Ê Ê <p>At each turn that the path takes, which will be circled,Ê",,,,,,,,,,,
,Ê Ê Ê your task is to decide whether you would turn to your right or your left as you are walking. </p>,,,,,,,,,,,
,"Ê Ê Ê <p>If it is a <strong> right turn</strong>, click on the <strong> right arrow key</strong>Ê on your keyboard,</p>",,,,,,,,,,,
,"Ê Ê Ê <p>and if it is a <strong> left turn</strong>, click on the <strong> left arrow key</strong>Ê on your keyboard.</p>",,,,,,,,,,,
,Ê Ê Ê <p>You will first see three practice trials. </p>,,,,,,,,,,,
,Ê Ê Ê <p>Please do not turn your computer screen/head.</p>,,,,,,,,,,,
2002,"<p style=""font-size:20px; color:black;"">You will first see three practice trials</p><p><p>If it is a <strong> right turn</strong>, click on the <strong> right arrow key</strong>Ê on your keyboard,</p><p>and if it is a <strong> left turn</strong>, click on the <strong> left arrow key</strong>Ê on your keyboard.</p>",0,html-button-response,6,21624,0.0-6.0,1,spatial,,,,
9385,img/spatial/version2/p1.png,arrowleft,image-keyboard-response,7,31013,0.0-7.0-0.0,1,spatial,,,,
15841,img/spatial/version2/p2.png,arrowright,image-keyboard-response,8,46856,0.0-7.0-1.0,1,spatial,,,,
2642,img/spatial/version2/p3.png,arrowright,image-keyboard-response,9,49501,0.0-7.0-2.0,1,spatial,,,,
2184,"<p style=""font-size:20px; color:black;""> Now, you will have 30 seconds to complete as many of the 32 trials as you can.",0,html-button-response,10,51687,0.0-8.0,1,spatial,,,,
4697,img/spatial/version2/1.png,arrowleft,image-keyboard-response,11,56386,0.0-9.0-0.0,1,spatial,,TRUE,,
9018,img/spatial/version2/2.png,arrowleft,image-keyboard-response,12,65407,0.0-9.0-0.1,1,spatial,,TRUE,,
2665,img/spatial/version2/3.png,arrowright,image-keyboard-response,13,68075,0.0-9.0-0.2,1,spatial,,TRUE,,
6490,img/spatial/version2/4.png,arrowright,image-keyboard-response,14,74567,0.0-9.0-0.3,1,spatial,,TRUE,,
2601,img/spatial/version2/5.png,arrowleft,image-keyboard-response,15,77171,0.0-9.0-0.4,1,spatial,,TRUE,,
,,,image-keyboard-response,16,81691,0.0-9.0-0.5,1,spatial,,FALSE,ended early,
2701,"<p style=""font-size:20px; color:black;""><p>You have finished the task - thanks for participating! Three more questions before you go. </p>",0,html-button-response,17,84394,0.0-10.0,1,spatial,,,,
2233,,"{""sex"":""Female""}",survey-multi-choice,18,86629,0.0-11.0,1,spatial,,,,[0]
3161,,"{""q2"":""spatial ability""}",survey-multi-choice,19,89793,0.0-12.0,1,spatial,,,,[0]
3756,,"{""q3"":""Males""}",survey-multi-choice,20,93551,0.0-13.0,1,spatial,,,,[0]
1329,"<p style=""font-size:20px; color:black;""><p>Thanks for participating! In this study the task is framed either as a spatial task (which male participants typically perform better on) or a social task (which female participants typically perform better on). We are looking at the effect of gender bias in problem framing on performance. We ask that you please do not share this information with other potential participants. </p>",0,html-button-response,21,94883,0.0-14.0,1,spatial,,,,
