rt,stimulus,response,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,condition,session_id,correct,status,question_order
35935,"<p style=""font-size:20px; color:black;""><p>By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. </p><p>If you have questions about this research, please contact us at stanfordpsych251@gmail.com. </p><p>You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. </p><p>Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you.</p>",0,html-button-response,0,35940,0.0-0.0,3,spatial,,,,
3766,"<p style=""font-size:20px; color:black;"">Our experiment is a task that tests your perspective taking ability.</p>",0,html-button-response,1,39709,0.0-1.0,3,spatial,,,,
7172,"<p style=""font-size:20px; color:black;"">Perspective taking ability can be thought of as a measure of <strong>spatial ability</strong>.</p>",0,html-button-response,2,46883,0.0-2.0,3,spatial,,,,
15709,"<p style=""font-size:20px; color:black;""><p>Spatial ability is a cognitive ability that is defined as understanding the relations between objects in space </p><p> and being able to mentally manipulate them and respond correctly.</p>",0,html-button-response,3,62594,0.0-3.0,3,spatial,,,,
10816,"<p style=""font-size:20px; color:black;"">Previous studies have shown that <strong>males often score higher on measures of spatial ability</strong>.</p>",0,html-button-response,4,73411,0.0-4.0,3,spatial,,,,
18610,"<p>In this test, you will be shown a map of a city with a path drawn through it. </p>",0,html-button-response,5,92024,0.0-5.0,3,spatial,,,,
,"Ê Ê Ê <p>Imagine yourself taking a walk through the path, following the direction of the dashed line.</p>Ê",,,,,,,,,,,
,"Ê Ê Ê <p>At each turn that the path takes, which will be circled,Ê",,,,,,,,,,,
,Ê Ê Ê your task is to decide whether you would turn to your right or your left as you are walking. </p>,,,,,,,,,,,
,"Ê Ê Ê <p>If it is a <strong> right turn</strong>, click on the <strong> right arrow key</strong>Ê on your keyboard,</p>",,,,,,,,,,,
,"Ê Ê Ê <p>and if it is a <strong> left turn</strong>, click on the <strong> left arrow key</strong>Ê on your keyboard.</p>",,,,,,,,,,,
,Ê Ê Ê <p>You will first see three practice trials. </p>,,,,,,,,,,,
,Ê Ê Ê <p>Please do not turn your computer screen/head.</p>,,,,,,,,,,,
7815,"<p style=""font-size:20px; color:black;"">You will first see three practice trials</p><p><p>If it is a <strong> right turn</strong>, click on the <strong> right arrow key</strong>Ê on your keyboard,</p><p>and if it is a <strong> left turn</strong>, click on the <strong> left arrow key</strong>Ê on your keyboard.</p>",0,html-button-response,6,99840,0.0-6.0,3,spatial,,,,
29775,img/spatial/version2/p1.png,arrowright,image-keyboard-response,7,129619,0.0-7.0-0.0,3,spatial,,,,
3133,img/spatial/version2/p2.png,arrowleft,image-keyboard-response,8,132754,0.0-7.0-1.0,3,spatial,,,,
2447,img/spatial/version2/p3.png,arrowleft,image-keyboard-response,9,135202,0.0-7.0-2.0,3,spatial,,,,
6338,"<p style=""font-size:20px; color:black;""> Now, you will have 30 seconds to complete as many of the 32 trials as you can.",0,html-button-response,10,141541,0.0-8.0,3,spatial,,,,
6806,img/spatial/version2/1.png,arrowleft,image-keyboard-response,11,148349,0.0-9.0-0.0,3,spatial,,TRUE,,
4955,img/spatial/version2/2.png,arrowleft,image-keyboard-response,12,153306,0.0-9.0-0.1,3,spatial,,TRUE,,
4017,img/spatial/version2/3.png,arrowright,image-keyboard-response,13,157326,0.0-9.0-0.2,3,spatial,,TRUE,,
4648,img/spatial/version2/4.png,arrowright,image-keyboard-response,14,161976,0.0-9.0-0.3,3,spatial,,TRUE,,
3000,img/spatial/version2/5.png,arrowleft,image-keyboard-response,15,164977,0.0-9.0-0.4,3,spatial,,TRUE,,
,,,image-keyboard-response,16,171545,0.0-9.0-0.5,3,spatial,,FALSE,ended early,
4512,"<p style=""font-size:20px; color:black;""><p>You have finished the task - thanks for participating! Three more questions before you go. </p>",0,html-button-response,17,176059,0.0-10.0,3,spatial,,,,
5863,,"{""sex"":""Male""}",survey-multi-choice,18,181925,0.0-11.0,3,spatial,,,,[0]
6061,,"{""q2"":""spatial ability""}",survey-multi-choice,19,187988,0.0-12.0,3,spatial,,,,[0]
6975,,"{""q3"":""Males""}",survey-multi-choice,20,194965,0.0-13.0,3,spatial,,,,[0]
1878,"<p style=""font-size:20px; color:black;""><p>Thanks for participating! In this study the task is framed either as a spatial task (which male participants typically perform better on) or a social task (which female participants typically perform better on). We are looking at the effect of gender bias in problem framing on performance. We ask that you please do not share this information with other potential participants. </p>",0,html-button-response,21,196846,0.0-14.0,3,spatial,,,,
