workerid,proliferate.condition,bothQuestionsCorrect,condition,correct,failed_audio,failed_images,failed_video,first,gender,internal_node_id,participant_hypothesis,question_order,response,rt,second,status,stimulus,success,tech_difficulty,time_elapsed,timeout,trial_index,trial_type,error
227,Spatial,True,spatial,,,,,males,Female,0.0-0.0,This study is trying to compare the spatial abilities between males and females,,,,spatial,,,True,,6035,,0,fullscreen,
227,Spatial,True,spatial,,[],[],[],males,Female,0.0-1.0,This study is trying to compare the spatial abilities between males and females,,,,spatial,,,True,,8335,False,1,preload,
227,Spatial,True,spatial,,,,,males,Female,0.0-2.0,This study is trying to compare the spatial abilities between males and females,,0,3802,spatial,,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;""><p>By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. </p><p>If you have questions about this research, please contact us at stanfordpsych251@gmail.com. </p><p>You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. </p><p>Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you.</p>",,,12138,,2,html-button-response,
227,Spatial,True,spatial,,,,,males,Female,0.0-3.0,This study is trying to compare the spatial abilities between males and females,,0,6184,spatial,,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;"">Our experiment is a task that tests your perspective taking ability.</p>",,,18325,,3,html-button-response,
227,Spatial,True,spatial,,,,,males,Female,0.0-4.0,This study is trying to compare the spatial abilities between males and females,,0,3841,spatial,,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;"">Perspective taking ability can be thought of as a measure of <strong>spatial ability</strong>.</p>",,,22169,,4,html-button-response,
227,Spatial,True,spatial,,,,,males,Female,0.0-5.0,This study is trying to compare the spatial abilities between males and females,,0,7687,spatial,,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;""><p>Spatial ability is a cognitive ability that is defined as understanding the relations between objects in space and being able to mentally manipulate them and respond correctly.</p>",,,29857,,5,html-button-response,
227,Spatial,True,spatial,,,,,males,Female,0.0-6.0,This study is trying to compare the spatial abilities between males and females,,0,4357,spatial,,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;"">Previous studies have shown that <strong>males often score higher on measures of spatial ability</strong>.</p>",,,34216,,6,html-button-response,
227,Spatial,True,spatial,,,,,males,Female,0.0-7.0,This study is trying to compare the spatial abilities between males and females,,"{'first': 'males', 'second': 'spatial'}",10204,spatial,,,,,44424,,7,survey-html-form,
227,Spatial,True,spatial,,,,,males,Female,0.0-8.0,This study is trying to compare the spatial abilities between males and females,,0,27072,spatial,,"<div style=""text-align: left;padding: 0 20vw;""><p>In this test, you will be shown a map of a city with a path drawn through it. </p>
      <p>Imagine yourself taking a walk through the path, following the direction of the dashed line.</p> 
      <p>At each turn that the path takes, which will be circled, 
      your task is to decide whether you would turn to your right or your left as you are walking. </p>
      <p>If it is a <strong> right turn</strong>, click on the <strong> right arrow key</strong>  on your keyboard,</p>
      <p>and if it is a <strong> left turn</strong>, click on the <strong> left arrow key</strong>  on your keyboard.</p>
      <p>You will first see three practice trials. </p>
      <p>Please do not turn your computer screen/head.</p>",,,71497,,8,html-button-response,
227,Spatial,True,spatial,,,,,males,Female,0.0-9.0,This study is trying to compare the spatial abilities between males and females,,0,6565,spatial,,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;"">You will first see three practice trials</p><p><p>If it is a <strong> right turn</strong>, click on the <strong> right arrow key</strong>  on your keyboard,</p><p>and if it is a <strong> left turn</strong>, click on the <strong> left arrow key</strong>  on your keyboard.</p> ",,,78065,,9,html-button-response,
227,Spatial,True,spatial,,,,,males,Female,0.0-10.0-0.0,This study is trying to compare the spatial abilities between males and females,,arrowleft,6034,spatial,,img/spatial/version2/p1.png,,,84130,,10,image-keyboard-response,
227,Spatial,True,spatial,,,,,males,Female,0.0-10.0-1.0,This study is trying to compare the spatial abilities between males and females,,arrowright,2770,spatial,,img/spatial/version2/p2.png,,,86923,,11,image-keyboard-response,
227,Spatial,True,spatial,,,,,males,Female,0.0-10.0-2.0,This study is trying to compare the spatial abilities between males and females,,arrowright,2008,spatial,,img/spatial/version2/p3.png,,,88956,,12,image-keyboard-response,
227,Spatial,True,spatial,,,,,males,Female,0.0-11.0,This study is trying to compare the spatial abilities between males and females,,0,2996,spatial,,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;""> Now, you will have 30 seconds to complete as many of the 32 trials as you can.",,,91952,,13,html-button-response,
227,Spatial,True,spatial,True,,,,males,Female,0.0-12.0-0.0,This study is trying to compare the spatial abilities between males and females,,arrowleft,2493,spatial,,img/spatial/version2/1.png,,,94479,,14,image-keyboard-response,
227,Spatial,True,spatial,False,,,,males,Female,0.0-12.0-0.1,This study is trying to compare the spatial abilities between males and females,,arrowright,860,spatial,,img/spatial/version2/2.png,,,95375,,15,image-keyboard-response,
227,Spatial,True,spatial,True,,,,males,Female,0.0-12.0-0.2,This study is trying to compare the spatial abilities between males and females,,arrowright,2152,spatial,,img/spatial/version2/3.png,,,97557,,16,image-keyboard-response,
227,Spatial,True,spatial,False,,,,males,Female,0.0-12.0-0.3,This study is trying to compare the spatial abilities between males and females,,arrowleft,1029,spatial,,img/spatial/version2/4.png,,,98618,,17,image-keyboard-response,
227,Spatial,True,spatial,False,,,,males,Female,0.0-12.0-0.4,This study is trying to compare the spatial abilities between males and females,,arrowright,434,spatial,,img/spatial/version2/5.png,,,99081,,18,image-keyboard-response,
227,Spatial,True,spatial,True,,,,males,Female,0.0-12.0-0.5,This study is trying to compare the spatial abilities between males and females,,arrowleft,2341,spatial,,img/spatial/version2/6.png,,,101454,,19,image-keyboard-response,
227,Spatial,True,spatial,True,,,,males,Female,0.0-12.0-0.6,This study is trying to compare the spatial abilities between males and females,,arrowright,1758,spatial,,img/spatial/version2/7.png,,,103245,,20,image-keyboard-response,
227,Spatial,True,spatial,False,,,,males,Female,0.0-12.0-0.7,This study is trying to compare the spatial abilities between males and females,,arrowleft,1363,spatial,,img/spatial/version2/8.png,,,104639,,21,image-keyboard-response,
227,Spatial,True,spatial,True,,,,males,Female,0.0-12.0-0.8,This study is trying to compare the spatial abilities between males and females,,arrowright,703,spatial,,img/spatial/version2/9.png,,,105372,,22,image-keyboard-response,
227,Spatial,True,spatial,True,,,,males,Female,0.0-12.0-0.9,This study is trying to compare the spatial abilities between males and females,,arrowleft,459,spatial,,img/spatial/version2/10.png,,,105863,,23,image-keyboard-response,
227,Spatial,True,spatial,False,,,,males,Female,0.0-12.0-0.10,This study is trying to compare the spatial abilities between males and females,,arrowleft,815,spatial,,img/spatial/version2/11.png,,,106712,,24,image-keyboard-response,
227,Spatial,True,spatial,False,,,,males,Female,0.0-12.0-0.11,This study is trying to compare the spatial abilities between males and females,,arrowright,808,spatial,,img/spatial/version2/12.png,,,107552,,25,image-keyboard-response,
227,Spatial,True,spatial,True,,,,males,Female,0.0-12.0-0.12,This study is trying to compare the spatial abilities between males and females,,arrowleft,654,spatial,,img/spatial/version2/13.png,,,108237,,26,image-keyboard-response,
227,Spatial,True,spatial,True,,,,males,Female,0.0-12.0-0.13,This study is trying to compare the spatial abilities between males and females,,arrowright,458,spatial,,img/spatial/version2/14.png,,,108727,,27,image-keyboard-response,
227,Spatial,True,spatial,True,,,,males,Female,0.0-12.0-0.14,This study is trying to compare the spatial abilities between males and females,,arrowright,3566,spatial,,img/spatial/version2/15.png,,,112313,,28,image-keyboard-response,
227,Spatial,True,spatial,True,,,,males,Female,0.0-12.0-0.15,This study is trying to compare the spatial abilities between males and females,,arrowleft,608,spatial,,img/spatial/version2/16.png,,,112943,,29,image-keyboard-response,
227,Spatial,True,spatial,True,,,,males,Female,0.0-12.0-0.16,This study is trying to compare the spatial abilities between males and females,,arrowleft,2372,spatial,,img/spatial/version2/17.png,,,115340,,30,image-keyboard-response,
227,Spatial,True,spatial,True,,,,males,Female,0.0-12.0-0.17,This study is trying to compare the spatial abilities between males and females,,arrowright,407,spatial,,img/spatial/version2/18.png,,,115772,,31,image-keyboard-response,
227,Spatial,True,spatial,True,,,,males,Female,0.0-12.0-0.18,This study is trying to compare the spatial abilities between males and females,,arrowright,688,spatial,,img/spatial/version2/19.png,,,116486,,32,image-keyboard-response,
227,Spatial,True,spatial,True,,,,males,Female,0.0-12.0-0.19,This study is trying to compare the spatial abilities between males and females,,arrowleft,747,spatial,,img/spatial/version2/20.png,,,117254,,33,image-keyboard-response,
227,Spatial,True,spatial,True,,,,males,Female,0.0-12.0-0.20,This study is trying to compare the spatial abilities between males and females,,arrowleft,321,spatial,,img/spatial/version2/21.png,,,117600,,34,image-keyboard-response,
227,Spatial,True,spatial,True,,,,males,Female,0.0-12.0-0.21,This study is trying to compare the spatial abilities between males and females,,arrowleft,755,spatial,,img/spatial/version2/22.png,,,118380,,35,image-keyboard-response,
227,Spatial,True,spatial,True,,,,males,Female,0.0-12.0-0.22,This study is trying to compare the spatial abilities between males and females,,arrowright,288,spatial,,img/spatial/version2/23.png,,,118694,,36,image-keyboard-response,
227,Spatial,True,spatial,True,,,,males,Female,0.0-12.0-0.23,This study is trying to compare the spatial abilities between males and females,,arrowright,294,spatial,,img/spatial/version2/24.png,,,119017,,37,image-keyboard-response,
227,Spatial,True,spatial,True,,,,males,Female,0.0-12.0-0.24,This study is trying to compare the spatial abilities between males and females,,arrowleft,1558,spatial,,img/spatial/version2/25.png,,,120602,,38,image-keyboard-response,
227,Spatial,True,spatial,True,,,,males,Female,0.0-12.0-0.25,This study is trying to compare the spatial abilities between males and females,,arrowleft,570,spatial,,img/spatial/version2/26.png,,,121198,,39,image-keyboard-response,
227,Spatial,True,spatial,False,,,,males,Female,0.0-12.0-0.26,This study is trying to compare the spatial abilities between males and females,,,,spatial,ended early,,,,121990,,40,image-keyboard-response,
227,Spatial,True,spatial,,,,,males,Female,0.0-13.0,This study is trying to compare the spatial abilities between males and females,,0,4402,spatial,,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;""><p>You have finished the task - thanks for participating! A few more questions before you go. </p>",,,126392,,41,html-button-response,
227,Spatial,True,spatial,,,,,males,Female,0.0-14.0,This study is trying to compare the spatial abilities between males and females,,{'Hypothesis': 'This study is trying to compare the spatial abilities between males and females'},44653,spatial,,,,,171078,,42,survey-text,
227,Spatial,True,spatial,,,,,males,Female,0.0-15.0,This study is trying to compare the spatial abilities between males and females,[0],{'sex': 'Female'},3203,spatial,,,,,174284,,43,survey-multi-choice,
227,Spatial,True,spatial,,,,,males,Female,0.0-16.0,This study is trying to compare the spatial abilities between males and females,[0],{'q2': 'spatial ability'},7093,spatial,,,,,181387,,44,survey-multi-choice,
227,Spatial,True,spatial,,,,,males,Female,0.0-17.0,This study is trying to compare the spatial abilities between males and females,[0],{'q3': 'Males'},2681,spatial,,,,,184074,,45,survey-multi-choice,
227,Spatial,True,spatial,,,,,males,Female,0.0-18.0,This study is trying to compare the spatial abilities between males and females,,{'technicalDifficulties': ''},2949,spatial,,,,,187061,,46,survey-text,
227,Spatial,True,spatial,,,,,males,Female,0.0-19.0,This study is trying to compare the spatial abilities between males and females,,0,16375,spatial,,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;""><p>Thanks for participating! In this study the task is framed either as a spatial task (which male participants typically perform better on) or a social task (which female participants typically perform better on). We are looking at the effect of gender bias in problem framing on performance. We ask that you please do not share this information with other potential participants. </p>",,,203437,,47,html-button-response,
275,Spatial,True,spatial,,,,,mens,Female,0.0-0.0,Fast direction skill,,,,social,,,True,,2249,,0,fullscreen,
275,Spatial,True,spatial,,[],[],[],mens,Female,0.0-1.0,Fast direction skill,,,,social,,,True,,42747,False,1,preload,
